,work,date
4361,Siegfried,1912-02-12
4362,Ariane et Barbe-bleue,1912-02-12
4363,The Bartered Bride,1912-02-13
4364,Versiegelt,1912-02-14
4365,Königskinder,1912-02-15
4366,Tristan und Isolde,1912-02-15
4367,La Gioconda,1912-02-16
4368,Tannhäuser,1912-02-17
4369,Tosca,1912-02-17
4370,Fourteenth Grand Sunday Night Concert,1912-02-18
4371,La Bohème,1912-02-19
4372,Tosca,1912-02-20
4373,Otello,1912-02-21
4374,Götterdämmerung,1912-02-22
4375,Aida,1912-02-22
4376,The Bartered Bride,1912-02-23
4377,Il Trovatore,1912-02-24
4378,Madama Butterfly,1912-02-24
4379,Fifteenth Sunday Night Concert,1912-02-25
4380,Die Walküre,1912-02-26
4381,Otello,1912-02-27
4382,Tosca,1912-02-28
4383,Le Donne Curiose,1912-02-29
4384,Rigoletto,1912-03-01
4385,Tannhäuser,1912-03-01
4386,Ariane et Barbe-bleue,1912-03-02
4387,Lohengrin,1912-03-02
4388,Sixteenth Sunday Night Concert,1912-03-03
4389,Otello,1912-03-04
4390,Königskinder,1912-03-05
4391,Die Meistersinger von Nürnberg,1912-03-06
4392,Hänsel und Gretel,1912-03-07
4393,La Bohème,1912-03-07
4394,Armide,1912-03-08
4395,Die Walküre,1912-03-09
4396,Aida,1912-03-09
4397,Seventeenth Sunday Night Concert,1912-03-10
4398,Tannhäuser,1912-03-11
4399,Aida,1912-03-12
4400,Madama Butterfly,1912-03-13
4401,The Bartered Bride,1912-03-13
4402,Mona,1912-03-14
4403,Otello,1912-03-15
4404,La Gioconda,1912-03-16
4405,Königskinder,1912-03-16
4406,Eighteenth Sunday Night Concert,1912-03-17
4407,Armide,1912-03-18
4408,Die Walküre,1912-03-19
4409,La Bohème,1912-03-20
4410,Aida,1912-03-20
4411,Lohengrin,1912-03-21
4412,Faust,1912-03-22
4413,Mona,1912-03-23
4414,Il Trovatore,1912-03-23
4415,Nineteenth Sunday Night Concert,1912-03-24
4416,Die Meistersinger von Nürnberg,1912-03-25
4417,Cavalleria Rusticana,1912-03-26
4418,Madama Butterfly,1912-03-27
4419,Die Walküre,1912-03-28
4420,Mona,1912-03-29
4421,Manon,1912-03-30
4422,Tannhäuser,1912-03-30
4423,Twentieth Sunday Night Concert,1912-03-31
4424,Mona,1912-04-01
4425,Rigoletto,1912-04-02
4426,Hänsel und Gretel,1912-04-03
4427,Il Trovatore,1912-04-03
4428,Manon,1912-04-04
4429,Parsifal,1912-04-05
4430,Orfeo ed Euridice,1912-04-05
4431,Otello,1912-04-06
4432,La Gioconda,1912-04-06
4433,Twenty-first And Last But One Sunday Concert,1912-04-07
4434,Manon,1912-04-08
4435,Gala Performance,1912-04-09
4436,Die Walküre,1912-04-10
4437,Die Meistersinger von Nürnberg,1912-04-11
4438,Aida,1912-04-12
4439,Versiegelt,1912-04-12
4440,Madama Butterfly,1912-04-13
4441,Hänsel und Gretel,1912-04-13
4442,"Twenty-second And Last Sunday Night Concert / 
L'Orfeo",1912-04-14
4443,Tannhäuser,1912-04-15
4444,Königskinder,1912-04-16
4445,Cavalleria Rusticana,1912-04-17
4446,Lohengrin,1912-04-17
4447,La Bohème,1912-04-18
4448,Aida,1912-04-19
4449,Königskinder,1912-04-20
4450,Aida,1912-04-22
4451,La Bohème,1912-04-23
4452,Il Trovatore,1912-04-24
4453,Cavalleria Rusticana,1912-04-25
4454,Faust,1912-04-26
4455,Tannhäuser,1912-04-27
4456,Rigoletto,1912-04-27
4457,Manon Lescaut,1912-11-11
4458,La Bohème,1912-11-12
4459,Tannhäuser,1912-11-13
4460,La Gioconda,1912-11-14
4461,Madama Butterfly,1912-11-15
4462,Götterdämmerung,1912-11-16
4463,Rigoletto,1912-11-16
4464,First Sunday Concert,1912-11-17
4465,Königskinder,1912-11-18
4466,Tannhäuser,1912-11-19
4467,Cavalleria Rusticana,1912-11-20
4468,Faust,1912-11-21
4469,Manon Lescaut,1912-11-22
4470,Die Zauberflöte,1912-11-23
4471,La Bohème,1912-11-23
4472,Second Sunday Concert,1912-11-24
4473,La Fanciulla del West,1912-11-25
4474,Madama Butterfly,1912-11-26
4475,Il Trovatore,1912-11-27
4476,Parsifal,1912-11-28
4477,La Bohème,1912-11-28
4478,Königskinder,1912-11-29
4479,Hänsel und Gretel,1912-11-30
4480,Aida,1912-11-30
4481,Third Sunday Concert,1912-12-01
4482,Die Zauberflöte,1912-12-02
4483,Adeline Genée Presentation,1912-12-03
4484,La Bohème,1912-12-03
4485,Götterdämmerung,1912-12-04
4486,Manon Lescaut,1912-12-05
4487,Die Meistersinger von Nürnberg,1912-12-06
4488,Faust,1912-12-07
4489,Tannhäuser,1912-12-07
4490,Fourth Sunday Concert,1912-12-08
4491,Aida,1912-12-09
4492,Die Meistersinger von Nürnberg,1912-12-10
4493,La Bohème,1912-12-11
4494,Die Zauberflöte,1912-12-12
4495,Il Segreto di Susanna,1912-12-13
4496,Die Walküre,1912-12-14
4497,Il Trovatore,1912-12-14
4498,Fifth Sunday Concert,1912-12-15
4499,Tannhäuser,1912-12-16
4500,Adeline Genée Presentation,1912-12-17
4501,Tosca,1912-12-17
4502,Manon Lescaut,1912-12-18
4503,Orfeo ed Euridice,1912-12-19
4504,Götterdämmerung,1912-12-20
4505,Il Segreto di Susanna,1912-12-21
4506,La Gioconda,1912-12-21
4507,Sixth Sunday Concert,1912-12-22
4508,Madama Butterfly,1912-12-23
4509,Cavalleria Rusticana,1912-12-24
4510,Hänsel und Gretel,1912-12-25
4511,Faust,1912-12-25
4512,Die Walküre,1912-12-26
4513,Les Huguenots,1912-12-27
4514,Orfeo ed Euridice,1912-12-28
4515,Die Zauberflöte,1912-12-28
4516,Seventh Sunday Concert,1912-12-29
4517,Tristan und Isolde,1912-12-30
4518,Madama Butterfly,1912-12-31
4519,Parsifal,1913-01-01
4520,Il Barbiere di Siviglia,1913-01-01
4521,Les Huguenots,1913-01-02
4522,Il Trovatore,1913-01-03
4523,Tosca,1913-01-04
4524,Die Walküre,1913-01-04
4525,Eighth Sunday Concert,1913-01-05
4526,Otello,1913-01-06
4527,La Gioconda,1913-01-07
4528,Madama Butterfly,1913-01-08
4529,La Fanciulla del West,1913-01-09
4530,Die Zauberflöte,1913-01-10
4531,Les Contes d'Hoffmann,1913-01-11
4532,Orfeo ed Euridice,1913-01-11
4533,Ninth Sunday Concert,1913-01-12
4534,Les Huguenots,1913-01-13
4535,Die Zauberflöte,1913-01-14
4536,Tristan und Isolde,1913-01-15
4537,Il Segreto di Susanna,1913-01-16
4538,Otello,1913-01-16
4539,Siegfried,1913-01-17
4540,Königskinder,1913-01-18
4541,Les Contes d'Hoffmann,1913-01-18
4542,Tenth Sunday Concert,1913-01-19
4543,Die Meistersinger von Nürnberg,1913-01-20
4544,Orfeo ed Euridice,1913-01-21
4545,Manon,1913-01-22
4546,Die Zauberflöte,1913-01-23
4547,Tristan und Isolde,1913-01-23
4548,Il Barbiere di Siviglia,1913-01-24
4549,La Gioconda,1913-01-25
4550,Madama Butterfly,1913-01-25
4551,Eleventh Sunday Concert,1913-01-26
4552,Les Contes d'Hoffmann,1913-01-27
4553,Manon,1913-01-28
4554,Das Rheingold,1913-01-29
4555,La Traviata,1913-01-29
4556,Cavalleria Rusticana,1913-01-30
4557,Otello,1913-01-31
4558,Madama Butterfly,1913-02-01
4559,Tannhäuser,1913-02-01
4560,Twelfth Sunday Concert,1913-02-02
4561,La Gioconda,1913-02-03
4562,Die Meistersinger von Nürnberg,1913-02-04
4563,Le Donne Curiose,1913-02-05
4564,Die Walküre,1913-02-06
4565,Les Contes d'Hoffmann,1913-02-06
4566,Manon,1913-02-07
4567,Tristan und Isolde,1913-02-08
4568,La Bohème,1913-02-08
4569,Thirteenth Sunday Concert,1913-02-09
4570,Il Segreto di Susanna,1913-02-10
4571,Les Contes d'Hoffmann,1913-02-11
4572,Siegfried,1913-02-12
4573,Tosca,1913-02-12
4574,Die Meistersinger von Nürnberg,1913-02-13
4575,La Traviata,1913-02-14
4576,Manon Lescaut,1913-02-15
4577,Die Walküre,1913-02-15
4578,Fourteenth Sunday Concert,1913-02-16
4579,Hänsel und Gretel,1913-02-17
4580,Gala Performance,1913-02-18
4581,Die Zauberflöte,1913-02-19
4582,Götterdämmerung,1913-02-20
4583,Madama Butterfly,1913-02-20
4584,La Fanciulla del West,1913-02-21
4585,Il Barbiere di Siviglia,1913-02-22
4586,Il Trovatore,1913-02-22
4587,Fifteenth Sunday Concert,1913-02-23
4588,Le Donne Curiose,1913-02-24
4589,La Traviata,1913-02-25
4590,Les Huguenots,1913-02-26
4591,Cyrano,1913-02-27
4592,Hänsel und Gretel,1913-02-27
4593,Tristan und Isolde,1913-02-28
4594,Manon,1913-03-01
4595,La Gioconda,1913-03-01
4596,Sixteenth Sunday Concert,1913-03-02
4597,Die Walküre,1913-03-03
4598,Tosca,1913-03-04
4599,Königskinder,1913-03-05
4600,Les Contes d'Hoffmann,1913-03-06
4601,Aida,1913-03-06
4602,La Bohème,1913-03-07
4603,Tannhäuser,1913-03-08
4604,Cavalleria Rusticana,1913-03-08
4605,Seventeenth Sunday Concert,1913-03-09
4606,Tosca,1913-03-10
4607,Lohengrin,1913-03-11
4608,Les Contes d'Hoffmann,1913-03-12
4609,Manon,1913-03-13
4610,Il Trovatore,1913-03-13
4611,Die Walküre,1913-03-14
4612,La Traviata,1913-03-15
4613,Faust,1913-03-15
4614,Eighteenth Sunday Concert,1913-03-16
4615,Lohengrin,1913-03-17
4616,Gala Performance,1913-03-18
4617,Boris Godunov,1913-03-19
4618,Le Donne Curiose,1913-03-20
4619,Parsifal,1913-03-21
4620,Les Contes d'Hoffmann,1913-03-21
4621,La Fanciulla del West,1913-03-22
4622,Die Meistersinger von Nürnberg,1913-03-22
4623,Nineteenth Sunday Concert,1913-03-23
4624,Cyrano,1913-03-24
4625,Les Huguenots,1913-03-25
4626,Lohengrin,1913-03-26
4627,Rigoletto,1913-03-27
4628,Tosca,1913-03-27
4629,Boris Godunov,1913-03-28
4630,Cyrano,1913-03-29
4631,Königskinder,1913-03-29
4632,Twentieth Sunday Concert,1913-03-30
4633,Manon,1913-03-31
4634,Die Zauberflöte,1913-04-01
4635,Aida,1913-04-02
4636,Madama Butterfly,1913-04-03
4637,Tannhäuser,1913-04-03
4638,Cyrano,1913-04-04
4639,Don Pasquale,1913-04-05
4640,Lohengrin,1913-04-05
4641,Wagner Concert,1913-04-06
4642,Boris Godunov,1913-04-07
4643,Aida,1913-04-08
4644,Die Meistersinger von Nürnberg,1913-04-09
4645,Cavalleria Rusticana,1913-04-10
4646,Königskinder,1913-04-10
4647,Tannhäuser,1913-04-11
4648,Les Huguenots,1913-04-12
4649,Madama Butterfly,1913-04-12
4650,"Concert
Beethoven: Symphony No. 9 in D Minor",1913-04-13
4651,La Bohème,1913-04-14
4652,Hänsel und Gretel,1913-04-15
4653,Cyrano,1913-04-16
4654,Die Zauberflöte,1913-04-17
4655,Don Pasquale,1913-04-17
4656,"Concert
Beethoven: Symphony No. 9 in D Minor",1913-04-18
4657,Tosca,1913-04-18
4658,Boris Godunov,1913-04-19
4659,Aida,1913-04-19
4660,Manon Lescaut,1913-04-21
4661,La Traviata,1913-04-22
4662,Cyrano,1913-04-23
4663,La Gioconda,1913-04-24
4664,Les Contes d'Hoffmann,1913-04-25
4665,Lucia di Lammermoor,1913-04-26
4666,Tosca,1913-04-26
4667,La Gioconda,1913-11-17
4668,Tosca,1913-11-18
4669,Die Zauberflöte,1913-11-19
4670,La Bohème,1913-11-20
4671,Lohengrin,1913-11-21
4672,Un Ballo in Maschera,1913-11-22
4673,La Bohème,1913-11-22
4674,First Sunday Concert,1913-11-23
4675,Madama Butterfly,1913-11-24
4676,Aida,1913-11-25
4677,Lucia di Lammermoor,1913-11-26
4678,Parsifal,1913-11-27
4679,Manon Lescaut,1913-11-27
4680,Boris Godunov,1913-11-28
4681,Die Zauberflöte,1913-11-29
4682,Faust,1913-11-29
4683,Second Sunday Concert,1913-11-30
4684,Lohengrin,1913-12-01
4685,Madama Butterfly,1913-12-02
4686,Un Ballo in Maschera,1913-12-03
4687,Siegfried,1913-12-04
4688,Cavalleria Rusticana,1913-12-05
4689,Les Contes d'Hoffmann,1913-12-06
4690,Tosca,1913-12-06
4691,Third Sunday Concert,1913-12-07
4692,Aida,1913-12-08
4693,Der Rosenkavalier,1913-12-09
4694,La Bohème,1913-12-10
4695,Un Ballo in Maschera,1913-12-11
4696,Tannhäuser,1913-12-12
4697,Madama Butterfly,1913-12-13
4698,Les Contes d'Hoffmann,1913-12-13
4699,Fourth Sunday Concert,1913-12-14
4700,Boris Godunov,1913-12-15
4701,Tannhäuser,1913-12-16
4702,Cavalleria Rusticana,1913-12-17
4703,Der Rosenkavalier,1913-12-18
4704,Tosca,1913-12-19
4705,Die Walküre,1913-12-20
4706,La Traviata,1913-12-20
4707,Fifth Sunday Concert,1913-12-21
4708,Die Zauberflöte,1913-12-22
4709,La Bohème,1913-12-23
4710,Tristan und Isolde,1913-12-24
4711,La Gioconda,1913-12-25
4712,Hänsel und Gretel,1913-12-26
4713,Siegfried,1913-12-26
4714,La Bohème,1913-12-27
4715,Aida,1913-12-27
4716,Sixth Sunday Concert,1913-12-28
4717,Der Rosenkavalier,1913-12-29
4718,Tannhäuser,1913-12-30
4719,Manon,1913-12-31
4720,Parsifal,1914-01-01
4721,La Traviata,1914-01-01
4722,L'Amore dei Tre Re,1914-01-02
4723,La Gioconda,1914-01-03
4724,Madama Butterfly,1914-01-03
4725,Seventh Sunday Concert,1914-01-04
4726,Manon Lescaut,1914-01-05
4727,Tristan und Isolde,1914-01-06
4728,Aida,1914-01-07
4729,Königskinder,1914-01-08
4730,Die Walküre,1914-01-09
4731,Manon,1914-01-10
4732,Der Rosenkavalier,1914-01-10
4733,Eighth Sunday Concert,1914-01-11
4734,L'Amore dei Tre Re,1914-01-12
4735,Königskinder,1914-01-13
4736,Hänsel und Gretel,1914-01-14
4737,Boris Godunov,1914-01-14
4738,Die Meistersinger von Nürnberg,1914-01-15
4739,Un Ballo in Maschera,1914-01-16
4740,Lohengrin,1914-01-17
4741,La Bohème,1914-01-17
4742,Ninth Sunday Concert,1914-01-18
4743,Manon,1914-01-19
4744,Die Zauberflöte,1914-01-20
4745,L'Amore dei Tre Re,1914-01-21
4746,Madama Butterfly,1914-01-22
4747,Tristan und Isolde,1914-01-22
4748,Der Rosenkavalier,1914-01-23
4749,Madeleine,1914-01-24
4750,Tannhäuser,1914-01-24
4751,Tenth Sunday Concert,1914-01-25
4752,Königskinder,1914-01-26
4753,Madeleine,1914-01-27
4754,Madama Butterfly,1914-01-28
4755,Das Rheingold,1914-01-29
4756,Boris Godunov,1914-01-29
4757,La Bohème,1914-01-30
4758,Die Meistersinger von Nürnberg,1914-01-31
4759,Cavalleria Rusticana,1914-01-31
4760,Eleventh Sunday Concert,1914-02-01
4761,Tosca,1914-02-02
4762,Der Rosenkavalier,1914-02-03
4763,La Fanciulla del West,1914-02-04
4764,Die Walküre,1914-02-05
4765,Madeleine,1914-02-05
4766,Königskinder,1914-02-06
4767,L'Amore dei Tre Re,1914-02-07
4768,Aida,1914-02-07
4769,Twelfth Sunday Concert,1914-02-08
4770,Die Meistersinger von Nürnberg,1914-02-09
4771,Tosca,1914-02-10
4772,Der Rosenkavalier,1914-02-11
4773,Siegfried,1914-02-12
4774,La Fanciulla del West,1914-02-12
4775,La Traviata,1914-02-13
4776,Tristan und Isolde,1914-02-14
4777,Faust,1914-02-14
4778,Thirteenth Sunday Concert,1914-02-15
4779,Un Ballo in Maschera,1914-02-16
4780,Aida,1914-02-17
4781,Tosca,1914-02-18
4782,Götterdämmerung,1914-02-19
4783,L'Amore dei Tre Re,1914-02-19
4784,Manon Lescaut,1914-02-20
4785,Boris Godunov,1914-02-21
4786,Die Walküre,1914-02-21
4787,Fourteenth Sunday Concert,1914-02-22
4788,La Bohème,1914-02-23
4789,Madeleine,1914-02-23
4790,Tosca,1914-02-24
4791,Lohengrin,1914-02-25
4792,Julien,1914-02-26
4793,Die Zauberflöte,1914-02-27
4794,Götterdämmerung,1914-02-28
4795,La Fanciulla del West,1914-02-28
4796,Fifteenth Sunday Concert,1914-03-01
4797,Orfeo ed Euridice,1914-03-02
4798,Madeleine,1914-03-03
4799,Königskinder,1914-03-04
4800,Gala Performance,1914-03-05
4801,Die Walküre,1914-03-05
4802,Julien,1914-03-06
4803,Der Rosenkavalier,1914-03-07
4804,Boris Godunov,1914-03-07
4805,Sixteenth Sunday Concert,1914-03-08
4806,Tristan und Isolde,1914-03-09
4807,Boris Godunov,1914-03-10
4808,Manon Lescaut,1914-03-11
4809,Madama Butterfly,1914-03-12
4810,Les Contes d'Hoffmann,1914-03-12
4811,Götterdämmerung,1914-03-13
4812,La Fanciulla del West,1914-03-14
4813,Königskinder,1914-03-14
4814,Seventeenth Sunday Concert,1914-03-15
4815,Julien,1914-03-16
4816,Lohengrin,1914-03-17
4817,La Gioconda,1914-03-18
4818,Der Rosenkavalier,1914-03-19
4819,Tosca,1914-03-19
4820,Madama Butterfly,1914-03-20
4821,Orfeo ed Euridice,1914-03-21
4822,Lohengrin,1914-03-21
4823,Eighteenth Sunday Concert,1914-03-22
4824,Die Walküre,1914-03-23
4825,La Gioconda,1914-03-24
4826,L'Amore Medico,1914-03-25
4827,La Bohème,1914-03-26
4828,Hänsel und Gretel,1914-03-26
4829,Die Meistersinger von Nürnberg,1914-03-27
4830,Julien,1914-03-28
4831,Madama Butterfly,1914-03-28
4832,Nineteenth Sunday Concert,1914-03-29
4833,L'Amore Medico,1914-03-30
4834,Aida,1914-03-31
4835,Die Walküre,1914-04-01
4836,Die Zauberflöte,1914-04-02
4837,Hänsel und Gretel,1914-04-03
4838,Orfeo ed Euridice,1914-04-03
4839,Tosca,1914-04-04
4840,Der Rosenkavalier,1914-04-04
4841,Twentieth Sunday Concert,1914-04-05
4842,La Traviata,1914-04-06
4843,Die Walküre,1914-04-07
4844,Julien,1914-04-08
4845,L'Amore Medico,1914-04-09
4846,Parsifal,1914-04-10
4847,Manon,1914-04-10
4848,Siegfried,1914-04-11
4849,La Gioconda,1914-04-11
4850,Twenty-first Sunday Concert,1914-04-12
4851,Hänsel und Gretel,1914-04-13
4852,Special Gala Performance,1914-04-14
4853,Tannhäuser,1914-04-15
4854,Aida,1914-04-16
4855,L'Amore Medico,1914-04-17
4856,Königskinder,1914-04-18
4857,Die Zauberflöte,1914-04-18
4858,Twenty-second Sunday Concert,1914-04-19
4859,La Bohème,1914-04-20
4860,Hänsel und Gretel,1914-04-21
4861,Orfeo ed Euridice,1914-04-21
4862,Tosca,1914-04-22
4863,Lohengrin,1914-04-23
4864,Aida,1914-04-24
4865,La Traviata,1914-04-25
4866,Tristan und Isolde,1914-04-25
4867,Twenty-third Sunday Concert,1914-04-26
4868,Manon,1914-04-27
4869,Il Trovatore,1914-04-28
4870,Der Rosenkavalier,1914-04-29
4871,Un Ballo in Maschera,1914-04-30
4872,Madama Butterfly,1914-05-01
4873,Lohengrin,1914-05-02
4874,Cavalleria Rusticana,1914-05-02
4875,Un Ballo in Maschera,1914-11-16
4876,Manon Lescaut,1914-11-17
4877,Lohengrin,1914-11-18
4878,Carmen,1914-11-19
4879,Der Rosenkavalier,1914-11-20
4880,La Bohème,1914-11-21
4881,Aida,1914-11-21
4882,First Sunday Concert,1914-11-22
4883,Die Zauberflöte,1914-11-23
4884,Tosca,1914-11-24
4885,La Gioconda,1914-11-25
4886,Parsifal,1914-11-26
4887,La Traviata,1914-11-26
4888,Carmen,1914-11-27
4889,Boris Godunov,1914-11-28
4890,Cavalleria Rusticana,1914-11-28
4891,Second Sunday Concert,1914-11-29
4892,Madama Butterfly,1914-11-30
4893,La Gioconda,1914-12-01
4894,Der Rosenkavalier,1914-12-02
4895,Tristan und Isolde,1914-12-03
4896,Tosca,1914-12-04
4897,Cavalleria Rusticana,1914-12-05
4898,Lohengrin,1914-12-05
4899,Third Sunday Concert,1914-12-06
4900,Carmen,1914-12-07
4901,Lohengrin,1914-12-08
4902,La Bohème,1914-12-09
4903,Die Zauberflöte,1914-12-10
4904,Die Walküre,1914-12-11
4905,Madama Butterfly,1914-12-12
4906,Aida,1914-12-12
4907,Fourth Sunday Concert,1914-12-13
4908,Der Rosenkavalier,1914-12-14
4909,Aida,1914-12-15
4910,Tristan und Isolde,1914-12-16
4911,Tosca,1914-12-17
4912,Cavalleria Rusticana,1914-12-18
4913,Euryanthe,1914-12-19
4914,La Bohème,1914-12-19
4915,Fifth Sunday Concert,1914-12-20
4916,La Traviata,1914-12-21
4917,Die Zauberflöte,1914-12-22
4918,Aida,1914-12-23
4919,Manon,1914-12-24
4920,Hänsel und Gretel,1914-12-25
4921,Tannhäuser,1914-12-25
4922,Carmen,1914-12-26
4923,Die Zauberflöte,1914-12-26
4924,Sixth Sunday Concert,1914-12-27
4925,Euryanthe,1914-12-28
4926,Madama Butterfly,1914-12-29
4927,Les Huguenots,1914-12-30
4928,Boris Godunov,1914-12-31
4929,Parsifal,1915-01-01
4930,Manon Lescaut,1915-01-01
4931,Die Zauberflöte,1915-01-02
4932,Madama Butterfly,1915-01-02
4933,Seventh Sunday Concert,1915-01-03
4934,Aida,1915-01-04
4935,La Traviata,1915-01-05
4936,Tosca,1915-01-06
4937,Lohengrin,1915-01-07
4938,La Bohème,1915-01-08
4939,Siegfried,1915-01-09
4940,Carmen,1915-01-09
4941,Eighth Sunday Concert,1915-01-10
4942,Boris Godunov,1915-01-11
4943,Cavalleria Rusticana,1915-01-12
4944,Tannhäuser,1915-01-13
4945,Madama Butterfly,1915-01-14
4946,La Gioconda,1915-01-15
4947,Manon Lescaut,1915-01-16
4948,Euryanthe,1915-01-16
4949,Ninth Sunday Concert,1915-01-17
4950,Lohengrin,1915-01-18
4951,Special Matinee,1915-01-19
4952,Euryanthe,1915-01-19
4953,Boris Godunov,1915-01-20
4954,Les Huguenots,1915-01-21
4955,Aida,1915-01-22
4956,Un Ballo in Maschera,1915-01-23
4957,Tannhäuser,1915-01-23
4958,Tenth Sunday Concert,1915-01-24
4959,Madame Sans-Gêne,1915-01-25
4960,Boris Godunov,1915-01-26
4961,Carmen,1915-01-27
4962,Das Rheingold,1915-01-28
4963,Aida,1915-01-28
4964,Manon,1915-01-29
4965,Fidelio,1915-01-30
4966,La Bohème,1915-01-30
4967,Eleventh Sunday Concert,1915-01-31
4968,Tristan und Isolde,1915-02-01
4969,Carmen,1915-02-02
4970,Euryanthe,1915-02-03
4971,Die Walküre,1915-02-04
4972,L'Oracolo,1915-02-04
4973,Madame Sans-Gêne,1915-02-05
4974,Lohengrin,1915-02-06
4975,Hänsel und Gretel,1915-02-06
4976,Twelfth Sunday Concert,1915-02-07
4977,Les Huguenots,1915-02-08
4978,Die Walküre,1915-02-09
4979,Madame Sans-Gêne,1915-02-10
4980,L'Amore dei Tre Re,1915-02-11
4981,Siegfried,1915-02-12
4982,Boris Godunov,1915-02-12
4983,Manon,1915-02-13
4984,Die Walküre,1915-02-13
4985,Thirteenth Sunday Concert,1915-02-14
4986,Carmen,1915-02-15
4987,Fidelio,1915-02-15
4988,Fidelio,1915-02-16
4989,L'Oracolo,1915-02-17
4990,Götterdämmerung,1915-02-18
4991,Manon Lescaut,1915-02-18
4992,Die Zauberflöte,1915-02-19
4993,Il Trovatore,1915-02-20
4994,Tosca,1915-02-20
4995,Fourteenth Sunday Concert,1915-02-21
4996,Parsifal,1915-02-22
4997,L'Amore dei Tre Re,1915-02-22
4998,Madame Sans-Gêne,1915-02-23
4999,Die Walküre,1915-02-24
5000,La Bohème,1915-02-25
5001,Euryanthe,1915-02-26
5002,Madame Sans-Gêne,1915-02-27
5003,Aida,1915-02-27
5004,Fifteenth Sunday Concert,1915-02-28
5005,L'Oracolo,1915-03-01
5006,Madame Sans-Gêne,1915-03-02
5007,Fidelio,1915-03-03
5008,Der Rosenkavalier,1915-03-04
5009,Madama Butterfly,1915-03-05
5010,Il Trovatore,1915-03-05
5011,Tristan und Isolde,1915-03-06
5012,La Traviata,1915-03-06
5013,Sixteenth Sunday Concert,1915-03-07
5014,Die Walküre,1915-03-08
5015,Tosca,1915-03-09
5016,L'Amore dei Tre Re,1915-03-10
5017,Hänsel und Gretel,1915-03-11
5018,Madame Sans-Gêne,1915-03-11
5019,Die Meistersinger von Nürnberg,1915-03-12
5020,Aida,1915-03-13
5021,Lohengrin,1915-03-13
5022,Seventeenth Sunday Concert,1915-03-14
5023,Tosca,1915-03-15
5024,Aida,1915-03-16
5025,Die Zauberflöte,1915-03-17
5026,Carmen,1915-03-18
5027,Götterdämmerung,1915-03-18
5028,La Traviata,1915-03-19
5029,Die Walküre,1915-03-20
5030,L'Oracolo,1915-03-20
5031,Eighteenth Sunday Concert,1915-03-21
5032,Die Meistersinger von Nürnberg,1915-03-22
5033,L'Amore dei Tre Re,1915-03-23
5034,Il Trovatore,1915-03-24
5035,Gala Performance,1915-03-25
5036,Tannhäuser,1915-03-25
5037,L'Amore dei Tre Re,1915-03-26
5038,Tosca,1915-03-27
5039,Die Zauberflöte,1915-03-27
5040,Nineteenth Sunday Concert,1915-03-28
5041,La Bohème,1915-03-29
5042,Tannhäuser,1915-03-30
5043,Madama Butterfly,1915-03-31
5044,Iris,1915-04-01
5045,Parsifal,1915-04-02
5046,L'Oracolo,1915-04-02
5047,Tannhäuser,1915-04-03
5048,Madame Sans-Gêne,1915-04-03
5049,Twentieth Sunday Concert,1915-04-04
5050,Il Trovatore,1915-04-05
5051,Madama Butterfly,1915-04-06
5052,Die Meistersinger von Nürnberg,1915-04-07
5053,Die Walküre,1915-04-08
5054,Hänsel und Gretel,1915-04-09
5055,Iris,1915-04-09
5056,L'Amore dei Tre Re,1915-04-10
5057,Madama Butterfly,1915-04-10
5058,Twenty-First Sunday Concert,1915-04-11
5059,Siegfried,1915-04-12
5060,Carmen,1915-04-13
5061,L'Oracolo,1915-04-13
5062,Iris,1915-04-14
5063,Il Trovatore,1915-04-15
5064,Fidelio,1915-04-16
5065,L'Oracolo,1915-04-17
5066,Il Trovatore,1915-04-17
5067,Twenty-Second Sunday Concert,1915-04-18
5068,Iris,1915-04-19
5069,Carmen,1915-04-20
5070,La Traviata,1915-04-21
5071,Fidelio,1915-04-22
5072,Madama Butterfly,1915-04-23
5073,Der Rosenkavalier,1915-04-24
5074,Boris Godunov,1915-04-24
5075,Les Huguenots,1915-04-26
5076,Les Contes d'Hoffmann,1915-04-27
5077,Carmen,1915-04-28
5078,Rigoletto,1915-04-29
5079,L'Amore dei Tre Re,1915-04-30
5080,Die Zauberflöte,1915-05-01
5081,Madame Sans-Gêne,1915-05-01
5082,Carmen,1915-05-13
5083,Siegfried (Stadium),1915-06-04
5084,Samson et Dalila,1915-11-15
5085,Il Trovatore,1915-11-16
5086,Boris Godunov,1915-11-17
5087,Götterdämmerung,1915-11-18
5088,La Bohème,1915-11-19
5089,Der Rosenkavalier,1915-11-20
5090,Aida,1915-11-20
5091,First Sunday Concert,1915-11-21
5092,Boris Godunov,1915-11-22
5093,Il Trovatore,1915-11-23
5094,Samson et Dalila,1915-11-24
5095,Parsifal,1915-11-25
5096,Il Barbiere di Siviglia,1915-11-25
5097,Lohengrin,1915-11-26
5098,Tosca,1915-11-27
5099,Boris Godunov,1915-11-27
5100,Second Sunday Concert,1915-11-28
5101,Der Rosenkavalier,1915-11-29
5102,Manon,1915-11-30
5103,Tristan und Isolde,1915-12-01
5104,Cavalleria Rusticana,1915-12-02
5105,Il Barbiere di Siviglia,1915-12-03
5106,Il Trovatore,1915-12-04
5107,Die Zauberflöte,1915-12-04
5108,Third Sunday Concert,1915-12-05
5109,La Bohème,1915-12-06
5110,Lohengrin,1915-12-07
